# year, no_of_titles, sub_style
"1992",7.00,"Industrial"
"1992",8.00,"Alternative Dance"
"1992",2.00,"Tex-Mex"
"1992",1.00,"Synth Pop"
"1992",3.00,"Singer/Songwriter"
"1992",6.00,"Rock &amp; Roll"
"1992",58.00,"Alternative Pop/Rock"
"1992",3.00,"Girl Group"
"1992",12.00,"Adult Contemporary"
"1992",1.00,"Mod Revival"
"1992",5.00,"Roots Rock"
"1992",2.00,"Aussie Rock"
"1992",1.00,"Jam Bands"
"1992",8.00,"Death Metal/Black Metal"
"1992",2.00,"Speed Metal"
"1992",7.00,"Pop/Rock"
"1992",1.00,"French Pop"
"1992",1.00,"Neo-Classical Metal"
"1992",2.00,"Baroque Pop"
"1992",3.00,"Acid Jazz"
"1992",2.00,"Skatepunk"
"1992",12.00,"Club/Dance"
"1992",1.00,"L.A. Punk"
"1992",1.00,"Funk Metal"
"1992",9.00,"Indie Rock"
"1992",1.00,"Jangle Pop"
"1992",5.00,"Punk Revival"
"1992",3.00,"Space Rock"
"1992",1.00,"Garage/House"
"1992",4.00,"Industrial Metal"
"1992",1.00,"Instrumental Rock"
"1992",5.00,"Folk-Pop"
"1992",4.00,"Hardcore Punk"
"1992",10.00,"House"
"1992",4.00,"Power Pop"
"1992",1.00,"Frat Rock"
"1992",1.00,"Retro-Rock"
"1992",2.00,"Alternative Folk"
"1992",2.00,"Grindcore"
"1992",1.00,"Merseybeat"
"1992",2.00,"Madchester"
"1992",2.00,"New Zealand Rock"
"1992",5.00,"Twee Pop"
"1992",8.00,"Noise Pop"
"1992",1.00,"Sadcore"
"1992",32.00,"Heavy Metal"
"1992",2.00,"Psychedelic Pop"
"1992",3.00,"Prog-Rock/Art Rock"
"1992",2.00,"Country-Rock"
"1992",1.00,"New York Punk"
"1992",14.00,"Grunge"
"1992",2.00,"Post-Rock/Experimental"
"1992",1.00,"Paisley Underground"
"1992",1.00,"Sophisti-Pop"
"1992",1.00,"Celebrity"
"1992",12.00,"College Rock"
"1992",2.00,"Post-Grunge"
"1992",4.00,"Avant-Prog"
"1992",6.00,"American Underground"
"1992",4.00,"Neo-Psychedelia"
"1992",2.00,"Post-Hardcore"
"1992",1.00,"Indie Electronic"
"1992",3.00,"Rap-Metal"
"1992",2.00,"Comedy Rock"
"1992",4.00,"Progressive Metal"
"1992",15.00,"Hard Rock"
"1992",1.00,"Bubblegum"
"1992",4.00,"British Invasion"
"1992",5.00,"Album Rock"
"1992",3.00,"Soft Rock"
"1992",2.00,"Surf"
"1992",3.00,"American Trad Rock"
"1992",1.00,"British Trad Rock"
"1992",2.00,"Cowpunk"
"1992",2.00,"Slowcore"
"1992",3.00,"Ambient Pop"
"1992",1.00,"Queercore"
"1992",10.00,"Blues-Rock"
"1992",2.00,"Lo-Fi"
"1992",2.00,"Punk Metal"
"1992",2.00,"Stoner Metal"
"1992",5.00,"Hair Metal"
"1992",14.00,"Alternative Metal"
"1992",2.00,"Power Metal"
"1992",1.00,"Boogie Rock"
"1992",1.00,"Pop Underground"
"1992",1.00,"Hot Rod"
"1992",1.00,"Punk Blues"
"1992",12.00,"Adult Alternative Pop/Rock"
"1992",9.00,"Disco"
"1992",17.00,"Dream Pop"
"1992",2.00,"Noise-Rock"
"1992",6.00,"Punk-Pop"
"1992",8.00,"Rockabilly"
"1992",1.00,"Surf Revival"
"1992",4.00,"Guitar Virtuoso"
"1992",1.00,"Punk"
"1992",2.00,"Christian Rock"
"1992",5.00,"Southern Rock"
"1992",6.00,"Thrash"
"1992",1.00,"Brill Building Pop"
"1992",1.00,"British Psychedelia"
"1992",4.00,"Post-Punk"
"1992",4.00,"Heartland Rock"
"1992",7.00,"New Wave"
"1992",4.00,"Pop-Metal"
"1992",1.00,"Rap-Rock"
"1992",2.00,"British Folk-Rock"
"1992",5.00,"Goth Rock"
"1992",7.00,"Dance-Pop"
"1992",4.00,"Garage Rock"
"1992",1.00,"Industrial Dance"
"1992",1.00,"Neo-Prog"
"1992",7.00,"Experimental Rock"
"1992",15.00,"Indie Pop"
"1992",2.00,"Math Rock"
"1992",6.00,"Urban"
"1993",2.00,"Post-Punk"
"1993",11.00,"Alternative Metal"
"1993",3.00,"Sludge Metal"
"1993",3.00,"Boogie Rock"
"1993",3.00,"Pop Underground"
"1993",1.00,"Avant-Prog"
"1993",1.00,"Neo-Psychedelia"
"1993",1.00,"Hot Rod"
"1993",1.00,"Space Rock"
"1993",1.00,"Punk Blues"
"1993",5.00,"Disco"
"1993",3.00,"Noise-Rock"
"1993",4.00,"Punk-Pop"
"1993",3.00,"Rockabilly"
"1993",2.00,"Rockabilly Revival"
"1993",10.00,"Punk"
"1993",70.00,"Alternative Pop/Rock"
"1993",2.00,"Hardcore Punk"
"1993",1.00,"Pub Rock"
"1993",13.00,"New Wave"
"1993",4.00,"Jam Bands"
"1993",2.00,"Heartland Rock"
"1993",1.00,"Garage Punk"
"1993",1.00,"Frat Rock"
"1993",1.00,"Ska Revival"
"1993",3.00,"Goth Rock"
"1993",1.00,"Merseybeat"
"1993",5.00,"Hi-NRG"
"1993",6.00,"Folk-Rock"
"1993",1.00,"Garage Rock Revival"
"1993",2.00,"Industrial Dance"
"1993",2.00,"Psychobilly"
"1993",4.00,"Twee Pop"
"1993",9.00,"Urban"
"1993",4.00,"Prog-Rock/Art Rock"
"1993",1.00,"Swedish Pop/Rock"
"1993",5.00,"Roots Rock"
"1993",2.00,"Country-Rock"
"1993",9.00,"Britpop"
"1993",1.00,"Anarchist Punk"
"1993",1.00,"Paisley Underground"
"1993",1.00,"Hair Metal"
"1993",1.00,"Arena Rock"
"1993",5.00,"Doom Metal"
"1993",2.00,"AM Pop"
"1993",5.00,"Punk Revival"
"1993",1.00,"Post-Grunge"
"1993",6.00,"American Underground"
"1993",1.00,"Riot Grrrl"
"1993",1.00,"Post-Hardcore"
"1993",6.00,"Pop"
"1993",5.00,"Garage/House"
"1993",3.00,"Tex-Mex"
"1993",20.00,"Dream Pop"
"1993",3.00,"Synth Pop"
"1993",3.00,"Rap-Metal"
"1993",2.00,"Surf Revival"
"1993",1.00,"Folk-Pop"
"1993",9.00,"Hard Rock"
"1993",4.00,"Bubblegum"
"1993",2.00,"Teen Idol"
"1993",2.00,"Euro-Dance"
"1993",1.00,"Teen Pop"
"1993",4.00,"British Invasion"
"1993",5.00,"Power Pop"
"1993",4.00,"Garage Rock"
"1993",8.00,"American Trad Rock"
"1993",1.00,"Queercore"
"1993",3.00,"Blues-Rock"
"1993",11.00,"Club/Dance"
"1993",1.00,"Rave"
"1993",1.00,"New York Punk"
"1993",1.00,"L.A. Punk"
"1993",2.00,"American Punk"
"1993",4.00,"Funk Metal"
"1993",2.00,"Detroit Rock"
"1993",2.00,"Neo-Glam"
"1993",2.00,"Stoner Metal"
"1993",3.00,"Goth Metal"
"1993",2.00,"Power Metal"
"1993",1.00,"Bar Band"
"1993",3.00,"Indie Electronic"
"1993",6.00,"Industrial"
"1993",15.00,"Adult Alternative Pop/Rock"
"1993",7.00,"Alternative Dance"
"1993",6.00,"Singer/Songwriter"
"1993",7.00,"Girl Group"
"1993",10.00,"Adult Contemporary"
"1993",12.00,"House"
"1993",1.00,"Pop-Metal"
"1993",1.00,"Rap-Rock"
"1993",1.00,"New Wave of British Heavy Metal"
"1993",10.00,"Dance-Pop"
"1993",2.00,"Grindcore"
"1993",2.00,"Euro-Pop"
"1993",16.00,"Pop/Rock"
"1993",1.00,"British Trad Rock"
"1993",1.00,"Neo-Prog"
"1993",5.00,"Experimental Rock"
"1993",4.00,"Noise Pop"
"1993",5.00,"Acid Jazz"
"1993",21.00,"Heavy Metal"
"1993",1.00,"Psychedelic Pop"
"1993",5.00,"Lo-Fi"
"1993",10.00,"Grunge"
"1993",6.00,"Shoegaze"
"1993",1.00,"Sunshine Pop"
"1993",1.00,"Post-Rock/Experimental"
"1993",2.00,"New Romantic"
"1993",13.00,"Indie Rock"
"1993",1.00,"No Wave"
"1993",5.00,"Scandinavian Metal"
"1993",6.00,"Alternative Country-Rock"
"1993",1.00,"Symphonic Black Metal"
"1993",1.00,"Proto-Punk"
"1993",2.00,"British Metal"
"1993",4.00,"College Rock"
"1993",1.00,"New Wave/Post-Punk Revival"
"1993",1.00,"Cocktail"
"1993",4.00,"Instrumental Rock"
"1993",4.00,"Guitar Virtuoso"
"1993",8.00,"Progressive Metal"
"1993",1.00,"Swamp Pop"
"1993",23.00,"Rock &amp; Roll"
"1993",1.00,"Oi!"
"1993",1.00,"Southern Rock"
"1993",4.00,"Thrash"
"1993",6.00,"Album Rock"
"1993",3.00,"Psychedelic"
"1993",4.00,"Soft Rock"
"1993",10.00,"Death Metal/Black Metal"
"1993",1.00,"Hot Rod Revival"
"1993",1.00,"Retro-Rock"
"1993",1.00,"Alternative Folk"
"1993",1.00,"Surf"
"1993",1.00,"Chamber Pop"
"1993",1.00,"Electro-Industrial"
"1993",7.00,"Indie Pop"
"1993",1.00,"Math Rock"
"1993",3.00,"Sadcore"
"1994",8.00,"Club/Dance"
"1994",1.00,"Aboriginal Rock"
"1994",12.00,"Grunge"
"1994",1.00,"American Punk"
"1994",2.00,"Punk Metal"
"1994",1.00,"Hair Metal"
"1994",12.00,"Scandinavian Metal"
"1994",16.00,"Alternative Metal"
"1994",5.00,"Symphonic Black Metal"
"1994",4.00,"Post-Grunge"
"1994",1.00,"College Rock"
"1994",1.00,"Third Wave Ska Revival"
"1994",3.00,"Pop"
"1994",7.00,"Garage/House"
"1994",9.00,"Industrial"
"1994",8.00,"Disco"
"1994",1.00,"Cocktail"
"1994",1.00,"Synth Pop"
"1994",2.00,"Rap-Metal"
"1994",2.00,"Surf Revival"
"1994",4.00,"Comedy Rock"
"1994",2.00,"Christian Rock"
"1994",1.00,"Teen Idol"
"1994",8.00,"Adult Contemporary"
"1994",2.00,"Thrash"
"1994",3.00,"Euro-Dance"
"1994",3.00,"Album Rock"
"1994",1.00,"Pop-Metal"
"1994",2.00,"British Folk-Rock"
"1994",1.00,"French Rock"
"1994",1.00,"Retro-Rock"
"1994",2.00,"Alternative Folk"
"1994",6.00,"Dance-Pop"
"1994",5.00,"Folk-Rock"
"1994",7.00,"American Trad Rock"
"1994",1.00,"Chamber Pop"
"1994",1.00,"Emo"
"1994",3.00,"Slowcore"
"1994",2.00,"Electro-Industrial"
"1994",14.00,"Indie Pop"
"1994",12.00,"Acid Jazz"
"1994",1.00,"Swedish Pop/Rock"
"1994",2.00,"Sunshine Pop"
"1994",2.00,"New Romantic"
"1994",2.00,"Detroit Rock"
"1994",1.00,"Anarchist Punk"
"1994",1.00,"Goth Metal"
"1994",3.00,"Power Metal"
"1994",3.00,"Avant-Prog"
"1994",4.00,"Post-Hardcore"
"1994",1.00,"New Wave/Post-Punk Revival"
"1994",7.00,"Dream Pop"
"1994",1.00,"Noise-Rock"
"1994",4.00,"Punk-Pop"
"1994",5.00,"Rockabilly"
"1994",1.00,"Rockabilly Revival"
"1994",1.00,"Guitar Virtuoso"
"1994",4.00,"Progressive Metal"
"1994",11.00,"Hard Rock"
"1994",66.00,"Alternative Pop/Rock"
"1994",3.00,"Hardcore Punk"
"1994",2.00,"Pub Rock"
"1994",4.00,"Brill Building Pop"
"1994",3.00,"British Psychedelia"
"1994",6.00,"British Invasion"
"1994",13.00,"New Wave"
"1994",4.00,"Surf"
"1994",3.00,"Grindcore"
"1994",2.00,"Hi-NRG"
"1994",1.00,"British Trad Rock"
"1994",1.00,"French Pop"
"1994",3.00,"Neo-Prog"
"1994",3.00,"Ska-Punk"
"1994",2.00,"Twee Pop"
"1994",2.00,"Math Rock"
"1994",6.00,"Blues-Rock"
"1994",26.00,"Heavy Metal"
"1994",1.00,"Rave"
"1994",6.00,"Lo-Fi"
"1994",4.00,"Stoner Metal"
"1994",4.00,"Doom Metal"
"1994",1.00,"Proto-Punk"
"1994",2.00,"Boogie Rock"
"1994",4.00,"Indie Electronic"
"1994",2.00,"Space Rock"
"1994",3.00,"Punk Blues"
"1994",2.00,"Tex-Mex"
"1994",3.00,"Instrumental Rock"
"1994",1.00,"Folk-Pop"
"1994",5.00,"Girl Group"
"1994",14.00,"House"
"1994",2.00,"Psychedelic"
"1994",5.00,"Jam Bands"
"1994",1.00,"Rap-Rock"
"1994",4.00,"Power Pop"
"1994",2.00,"Frat Rock"
"1994",22.00,"Death Metal/Black Metal"
"1994",4.00,"Goth Rock"
"1994",1.00,"New Wave of British Heavy Metal"
"1994",8.00,"Garage Rock"
"1994",3.00,"Garage Rock Revival"
"1994",11.00,"Experimental Rock"
"1994",1.00,"Noise Pop"
"1994",1.00,"Shibuya-Kei"
"1994",2.00,"Country-Rock"
"1994",1.00,"Kraut Rock"
"1994",1.00,"New York Punk"
"1994",4.00,"Shoegaze"
"1994",14.00,"Britpop"
"1994",9.00,"Post-Rock/Experimental"
"1994",2.00,"Funk Metal"
"1994",19.00,"Indie Rock"
"1994",2.00,"Neo-Glam"
"1994",1.00,"Obscuro"
"1994",2.00,"Sophisti-Pop"
"1994",2.00,"Alternative Country-Rock"
"1994",3.00,"Sludge Metal"
"1994",1.00,"AM Pop"
"1994",10.00,"Punk Revival"
"1994",1.00,"Pop Underground"
"1994",3.00,"Riot Grrrl"
"1994",2.00,"Freestyle"
"1994",19.00,"Adult Alternative Pop/Rock"
"1994",3.00,"Alternative Dance"
"1994",2.00,"Industrial Metal"
"1994",1.00,"Singer/Songwriter"
"1994",5.00,"Punk"
"1994",14.00,"Rock &amp; Roll"
"1994",1.00,"Christian Metal"
"1994",6.00,"Bubblegum"
"1994",5.00,"Southern Rock"
"1994",1.00,"Euro-Rock"
"1994",4.00,"Post-Punk"
"1994",4.00,"Canterbury Scene"
"1994",3.00,"Roots Rock"
"1994",1.00,"Garage Punk"
"1994",3.00,"Soft Rock"
"1994",4.00,"Merseybeat"
"1994",10.00,"Pop/Rock"
"1994",10.00,"Urban"
"1994",1.00,"Skatepunk"
"1994",4.00,"Prog-Rock/Art Rock"
"1995",31.00,"Club/Dance"
"1995",3.00,"Country-Rock"
"1995",9.00,"Lo-Fi"
"1995",1.00,"Sunshine Pop"
"1995",2.00,"Funk Metal"
"1995",1.00,"Detroit Rock"
"1995",1.00,"Paisley Underground"
"1995",1.00,"No Wave"
"1995",1.00,"Punk Metal"
"1995",4.00,"Stoner Metal"
"1995",2.00,"Proto-Punk"
"1995",7.00,"College Rock"
"1995",3.00,"Neo-Psychedelia"
"1995",3.00,"Punk Blues"
"1995",1.00,"New Wave/Post-Punk Revival"
"1995",2.00,"Freestyle"
"1995",8.00,"Rockabilly"
"1995",1.00,"Rockabilly Revival"
"1995",10.00,"Rock &amp; Roll"
"1995",1.00,"Oi!"
"1995",8.00,"Hard Rock"
"1995",3.00,"Hardcore Punk"
"1995",1.00,"Pub Rock"
"1995",1.00,"Brill Building Pop"
"1995",25.00,"House"
"1995",3.00,"Euro-Dance"
"1995",6.00,"Roots Rock"
"1995",2.00,"Psychedelic"
"1995",2.00,"Jam Bands"
"1995",2.00,"Soft Rock"
"1995",2.00,"Power Pop"
"1995",7.00,"Goth Rock"
"1995",4.00,"British Trad Rock"
"1995",1.00,"Garage Rock Revival"
"1995",12.00,"Experimental Rock"
"1995",3.00,"New Zealand Rock"
"1995",4.00,"Emo"
"1995",3.00,"Noise Pop"
"1995",26.00,"Heavy Metal"
"1995",15.00,"Urban"
"1995",6.00,"Prog-Rock/Art Rock"
"1995",1.00,"Skatepunk"
"1995",1.00,"New York Punk"
"1995",1.00,"Shoegaze"
"1995",26.00,"Britpop"
"1995",2.00,"Neo-Glam"
"1995",13.00,"Alternative Metal"
"1995",5.00,"Symphonic Black Metal"
"1995",2.00,"AM Pop"
"1995",1.00,"British Metal"
"1995",1.00,"Celebrity"
"1995",9.00,"Punk Revival"
"1995",1.00,"Boogie Rock"
"1995",5.00,"Third Wave Ska Revival"
"1995",2.00,"Avant-Prog"
"1995",7.00,"Indie Electronic"
"1995",15.00,"Industrial"
"1995",12.00,"Alternative Dance"
"1995",2.00,"Tex-Mex"
"1995",3.00,"Cocktail"
"1995",2.00,"Noise-Rock"
"1995",1.00,"Rap-Metal"
"1995",3.00,"Singer/Songwriter"
"1995",2.00,"Swamp Pop"
"1995",3.00,"Christian Rock"
"1995",2.00,"Southern Rock"
"1995",7.00,"Album Rock"
"1995",8.00,"New Wave"
"1995",1.00,"Heartland Rock"
"1995",2.00,"British Folk-Rock"
"1995",1.00,"French Rock"
"1995",1.00,"Ska Revival"
"1995",9.00,"Dance-Pop"
"1995",2.00,"Grindcore"
"1995",4.00,"Euro-Pop"
"1995",20.00,"Hi-NRG"
"1995",1.00,"French Pop"
"1995",5.00,"Madchester"
"1995",3.00,"Neo-Prog"
"1995",1.00,"Cowpunk"
"1995",2.00,"Electro-Industrial"
"1995",3.00,"Baroque Pop"
"1995",15.00,"Indie Pop"
"1995",3.00,"Math Rock"
"1995",4.00,"Blues-Rock"
"1995",3.00,"Post-Punk"
"1995",1.00,"L.A. Punk"
"1995",9.00,"Post-Rock/Experimental"
"1995",2.00,"Obscuro"
"1995",1.00,"Arena Rock"
"1995",15.00,"Post-Grunge"
"1995",2.00,"Early British Pop/Rock"
"1995",3.00,"Pop Underground"
"1995",2.00,"Riot Grrrl"
"1995",3.00,"American Underground"
"1995",4.00,"Post-Hardcore"
"1995",20.00,"Adult Alternative Pop/Rock"
"1995",17.00,"Disco"
"1995",4.00,"Instrumental Rock"
"1995",12.00,"Dream Pop"
"1995",4.00,"Industrial Metal"
"1995",8.00,"Punk-Pop"
"1995",8.00,"Bubblegum"
"1995",10.00,"Adult Contemporary"
"1995",1.00,"Teen Pop"
"1995",3.00,"Pop-Metal"
"1995",1.00,"Rap-Rock"
"1995",10.00,"Surf"
"1995",5.00,"Garage Rock"
"1995",7.00,"Folk-Rock"
"1995",11.00,"Pop/Rock"
"1995",3.00,"Ska-Punk"
"1995",4.00,"Shibuya-Kei"
"1995",1.00,"Swedish Pop/Rock"
"1995",1.00,"Rave"
"1995",7.00,"Grunge"
"1995",10.00,"Indie Rock"
"1995",1.00,"Acid Rock"
"1995",3.00,"Hair Metal"
"1995",8.00,"Scandinavian Metal"
"1995",2.00,"Goth Metal"
"1995",5.00,"Doom Metal"
"1995",10.00,"Alternative Country-Rock"
"1995",8.00,"Power Metal"
"1995",1.00,"Bar Band"
"1995",2.00,"Space Rock"
"1995",3.00,"Pop"
"1995",13.00,"Garage/House"
"1995",2.00,"Synth Pop"
"1995",3.00,"Surf Revival"
"1995",2.00,"Comedy Rock"
"1995",5.00,"Progressive Metal"
"1995",61.00,"Alternative Pop/Rock"
"1995",8.00,"Girl Group"
"1995",1.00,"Thrash"
"1995",1.00,"Mod Revival"
"1995",2.00,"British Invasion"
"1995",4.00,"Garage Punk"
"1995",1.00,"Frat Rock"
"1995",14.00,"Death Metal/Black Metal"
"1995",1.00,"Alternative Folk"
"1995",1.00,"Merseybeat"
"1995",4.00,"American Trad Rock"
"1995",1.00,"Psychobilly"
"1995",1.00,"Chamber Pop"
"1995",2.00,"Twee Pop"
"1995",2.00,"Slowcore"
"1995",3.00,"Ambient Pop"
"1995",2.00,"Queercore"
"1995",4.00,"Sadcore"
"1995",11.00,"Acid Jazz"
"1996",27.00,"Club/Dance"
"1996",14.00,"Indie Rock"
"1996",2.00,"Sophisti-Pop"
"1996",5.00,"Alternative Country-Rock"
"1996",15.00,"Alternative Metal"
"1996",8.00,"College Rock"
"1996",4.00,"Third Wave Ska Revival"
"1996",5.00,"Pop"
"1996",18.00,"Industrial"
"1996",2.00,"Tex-Mex"
"1996",8.00,"Dream Pop"
"1996",6.00,"Industrial Metal"
"1996",1.00,"Rockabilly Revival"
"1996",1.00,"Folk-Pop"
"1996",3.00,"Surf Revival"
"1996",2.00,"Guitar Virtuoso"
"1996",2.00,"Swamp Pop"
"1996",7.00,"Girl Group"
"1996",1.00,"Southern Rock"
"1996",2.00,"Euro-Dance"
"1996",2.00,"Canterbury Scene"
"1996",3.00,"British Invasion"
"1996",5.00,"Pop-Metal"
"1996",19.00,"Death Metal/Black Metal"
"1996",2.00,"Retro-Rock"
"1996",3.00,"New Wave of British Heavy Metal"
"1996",8.00,"Surf"
"1996",6.00,"Hi-NRG"
"1996",4.00,"Garage Rock"
"1996",1.00,"Madchester"
"1996",6.00,"Ska-Punk"
"1996",7.00,"Math Rock"
"1996",6.00,"Sadcore"
"1996",20.00,"Urban"
"1996",2.00,"Roots Rock"
"1996",2.00,"Christian Punk"
"1996",19.00,"Britpop"
"1996",13.00,"Post-Rock/Experimental"
"1996",3.00,"Sunshine Pop"
"1996",6.00,"Funk Metal"
"1996",1.00,"Detroit Rock"
"1996",5.00,"Goth Metal"
"1996",1.00,"Proto-Punk"
"1996",1.00,"Bar Band"
"1996",11.00,"Post-Grunge"
"1996",1.00,"Boogie Rock"
"1996",5.00,"Avant-Prog"
"1996",1.00,"Mod"
"1996",1.00,"Riot Grrrl"
"1996",8.00,"Indie Electronic"
"1996",5.00,"Garage/House"
"1996",20.00,"Adult Alternative Pop/Rock"
"1996",14.00,"Disco"
"1996",5.00,"Instrumental Rock"
"1996",1.00,"Comedy Rock"
"1996",1.00,"Punk"
"1996",8.00,"Progressive Metal"
"1996",2.00,"Christian Rock"
"1996",3.00,"Rock &amp; Roll"
"1996",5.00,"Hard Rock"
"1996",3.00,"Psychedelic"
"1996",5.00,"Soft Rock"
"1996",4.00,"Goth Rock"
"1996",1.00,"Glam Rock"
"1996",12.00,"Dance-Pop"
"1996",1.00,"Merseybeat"
"1996",1.00,"French Pop"
"1996",1.00,"Garage Rock Revival"
"1996",1.00,"Psychobilly"
"1996",17.00,"Experimental Rock"
"1996",8.00,"Chamber Pop"
"1996",6.00,"Emo"
"1996",2.00,"Electro-Industrial"
"1996",2.00,"Ambient Pop"
"1996",1.00,"C-86"
"1996",19.00,"Indie Pop"
"1996",11.00,"Acid Jazz"
"1996",1.00,"Psychedelic Pop"
"1996",2.00,"Country-Rock"
"1996",7.00,"Grunge"
"1996",1.00,"Glitter"
"1996",2.00,"Jangle Pop"
"1996",1.00,"Punk Metal"
"1996",3.00,"Stoner Metal"
"1996",9.00,"Scandinavian Metal"
"1996",6.00,"Sludge Metal"
"1996",4.00,"Power Metal"
"1996",3.00,"British Metal"
"1996",5.00,"AM Pop"
"1996",1.00,"British Blues"
"1996",3.00,"Hot Rod"
"1996",1.00,"New Wave/Post-Punk Revival"
"1996",4.00,"Cocktail"
"1996",1.00,"Synth Pop"
"1996",10.00,"Adult Contemporary"
"1996",1.00,"Pub Rock"
"1996",4.00,"Album Rock"
"1996",4.00,"Jam Bands"
"1996",6.00,"Power Pop"
"1996",2.00,"British Folk-Rock"
"1996",1.00,"Hot Rod Revival"
"1996",2.00,"Alternative Folk"
"1996",9.00,"Pop/Rock"
"1996",3.00,"British Trad Rock"
"1996",1.00,"New Zealand Rock"
"1996",3.00,"Queercore"
"1996",1.00,"Japanese Rock"
"1996",7.00,"Prog-Rock/Art Rock"
"1996",1.00,"Swedish Pop/Rock"
"1996",4.00,"Post-Punk"
"1996",1.00,"Freakbeat"
"1996",3.00,"Lo-Fi"
"1996",6.00,"Hair Metal"
"1996",8.00,"Doom Metal"
"1996",4.00,"Symphonic Black Metal"
"1996",6.00,"Punk Revival"
"1996",4.00,"Pop Underground"
"1996",4.00,"Neo-Psychedelia"
"1996",1.00,"American Underground"
"1996",4.00,"Space Rock"
"1996",6.00,"Punk Blues"
"1996",7.00,"Alternative Dance"
"1996",1.00,"Noise-Rock"
"1996",5.00,"Punk-Pop"
"1996",10.00,"Rockabilly"
"1996",2.00,"Rap-Metal"
"1996",4.00,"Oi!"
"1996",32.00,"Alternative Pop/Rock"
"1996",6.00,"Bubblegum"
"1996",1.00,"Hardcore Punk"
"1996",40.00,"House"
"1996",1.00,"Brill Building Pop"
"1996",2.00,"Mod Revival"
"1996",1.00,"British Psychedelia"
"1996",1.00,"Aussie Rock"
"1996",1.00,"Heartland Rock"
"1996",7.00,"New Wave"
"1996",1.00,"Ska Revival"
"1996",1.00,"Grindcore"
"1996",2.00,"Euro-Pop"
"1996",3.00,"Folk-Rock"
"1996",1.00,"Rock en EspaÃƒÂ±ol"
"1996",9.00,"American Trad Rock"
"1996",2.00,"Neo-Prog"
"1996",1.00,"Cowpunk"
"1996",5.00,"Twee Pop"
"1996",4.00,"Slowcore"
"1996",2.00,"Noise Pop"
"1996",3.00,"Blues-Rock"
"1996",37.00,"Heavy Metal"
"1996",4.00,"Shibuya-Kei"
"1996",3.00,"Teen Pop"
"1997",3.00,"Lo-Fi"
"1997",3.00,"Grunge"
"1997",2.00,"Punk Metal"
"1997",1.00,"Arena Rock"
"1997",5.00,"Goth Metal"
"1997",7.00,"Symphonic Black Metal"
"1997",6.00,"Punk Revival"
"1997",1.00,"Riot Grrrl"
"1997",5.00,"Space Rock"
"1997",1.00,"Alternative Singer/Songwriter"
"1997",8.00,"Garage/House"
"1997",11.00,"Industrial"
"1997",5.00,"Alternative Dance"
"1997",3.00,"Dream Pop"
"1997",6.00,"Rap-Metal"
"1997",1.00,"Folk-Pop"
"1997",4.00,"Punk"
"1997",12.00,"Hard Rock"
"1997",1.00,"Heartland Rock"
"1997",3.00,"Rap-Rock"
"1997",17.00,"Death Metal/Black Metal"
"1997",5.00,"Surf"
"1997",2.00,"Hi-NRG"
"1997",3.00,"Folk-Rock"
"1997",1.00,"Rock en EspaÃƒÂ±ol"
"1997",4.00,"Neo-Prog"
"1997",1.00,"Neo-Classical Metal"
"1997",19.00,"Indie Pop"
"1997",7.00,"Acid Jazz"
"1997",29.00,"Heavy Metal"
"1997",3.00,"Shibuya-Kei"
"1997",12.00,"Prog-Rock/Art Rock"
"1997",3.00,"Teen Pop"
"1997",5.00,"Country-Rock"
"1997",1.00,"Kraut Rock"
"1997",1.00,"Neo-Glam"
"1997",1.00,"Acid Rock"
"1997",18.00,"Scandinavian Metal"
"1997",10.00,"Alternative Country-Rock"
"1997",11.00,"Alternative Metal"
"1997",7.00,"Power Metal"
"1997",2.00,"British Metal"
"1997",5.00,"College Rock"
"1997",1.00,"Pop"
"1997",2.00,"Freestyle"
"1997",20.00,"Adult Alternative Pop/Rock"
"1997",9.00,"Disco"
"1997",2.00,"Synth Pop"
"1997",7.00,"Punk-Pop"
"1997",7.00,"Rockabilly"
"1997",4.00,"Rockabilly Revival"
"1997",1.00,"Guitar Virtuoso"
"1997",8.00,"Progressive Metal"
"1997",2.00,"Christian Rock"
"1997",14.00,"Rock &amp; Roll"
"1997",1.00,"Christian Metal"
"1997",8.00,"Adult Contemporary"
"1997",2.00,"Thrash"
"1997",2.00,"British Psychedelia"
"1997",4.00,"Euro-Dance"
"1997",3.00,"Roots Rock"
"1997",7.00,"Album Rock"
"1997",6.00,"Psychedelic"
"1997",12.00,"New Wave"
"1997",3.00,"Garage Punk"
"1997",1.00,"Pop-Metal"
"1997",2.00,"Frat Rock"
"1997",4.00,"Power Pop"
"1997",2.00,"Alternative Folk"
"1997",1.00,"Speed Metal"
"1997",3.00,"Garage Rock"
"1997",4.00,"American Trad Rock"
"1997",5.00,"Ska-Punk"
"1997",10.00,"Experimental Rock"
"1997",2.00,"Chamber Pop"
"1997",2.00,"Baroque Pop"
"1997",3.00,"Blues-Rock"
"1997",22.00,"Club/Dance"
"1997",1.00,"Christian Punk"
"1997",1.00,"Aboriginal Rock"
"1997",4.00,"Indie Rock"
"1997",1.00,"Obscuro"
"1997",4.00,"Doom Metal"
"1997",2.00,"Celebrity"
"1997",4.00,"Pop Underground"
"1997",7.00,"Third Wave Ska Revival"
"1997",1.00,"Mod"
"1997",2.00,"American Underground"
"1997",2.00,"Punk Blues"
"1997",4.00,"Industrial Metal"
"1997",3.00,"Comedy Rock"
